focal,starting.plants.i,starting.plants.j,time,time.1,ending.plants.i,ending.plants.j,biomass.i,biomass.j,total.fecundity.i,total.fecundity.j,per.capita.fecundity.i,per.capita.fecundity.j
i,1,12,1,0.9048374180358738,10.858049016430487,1.0261820542399491,9.852110103275816,5.130910271199745,49.260550516379084,5.67053281498613,4.536777319925304,NA
i,9,2,2,7.3685767777015005,1.6374615061558904,17.31023636455251,3.331256778070711,86.55118182276254,16.656283890353556,11.745983577816595,10.172015542188774,NA
i,6,0,3,4.444909324088111,0,22.34503303994809,0,111.72516519974045,0,25.13553304547135,NA,NA
i,1,6,4,0.670320046035636,4.02192027621382,13.248486979015212,13.48035248209804,66.24243489507606,67.40176241049019,98.82210040836887,16.758602304753108,NA
i,2,1,5,1.2130613194252586,0.6065306597126293,20.969581476235618,4.789181107894938,104.84790738117809,23.945905539474687,86.43248754387322,39.480123809108214,NA
j,15,8,6,8.2321745414094,4.390493088751682,21.77040643311377,3.627032063685519,108.85203216556886,18.135160318427594,13.222755617974629,4.1305520705383545,NA
j,14,2,7,6.952194252771428,0.9931706075387757,22.785788462582065,1.849628045901905,113.92894231291032,9.248140229509525,16.38747971800322,9.31173371353366,NA
j,3,0,8,1.3479868900143597,0,23.74976900287374,0,118.7488450143687,0,88.09347174964269,NA,NA
j,6,8,9,2.4394179583279665,3.252557277770622,21.990067846844653,3.259022547105568,109.95033923422326,16.295112735527837,45.072366077679355,5.009938747857158,NA
j,5,2,10,1.8393972063337942,0.7357588825335178,22.533436365206818,2.3084168501369167,112.6671818260341,11.542084250684583,61.25223058840965,15.687318936525076,NA
